Age,Gender,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn,PCA1,PCA2,Cluster
56,1,7,30965.527438046116,2,0,0,109518.59526355848,0,29158.163757051938,-18887.907769820173,1
69,1,1,3065.949015019731,1,1,1,94461.4384149732,1,14026.769962131759,-46747.2934176414,1
46,0,4,15001.936178986209,2,0,0,129661.50411843415,1,49258.4936523723,-34905.07853093033,1
32,1,1,56201.465454302415,2,0,0,64552.63090274725,1,-15740.443594871795,6467.675174937562,0
60,1,6,15766.059505334008,2,0,1,128109.8994190088,0,47708.92920976272,-34136.82633749867,1
25,1,4,73630.50159809107,2,1,0,15183.983757501044,0,-65062.50609412027,24028.10728792323,0
38,0,1,3723.2604915937495,1,1,1,61212.64631387026,1,-19220.15413510411,-46001.450105518685,0
56,0,9,25948.80232378819,2,0,1,20217.628204049113,0,-60155.84513816379,-23666.826430258367,0
36,1,4,69545.31233884886,3,0,1,138694.18387032702,0,58436.37824822539,19614.052241618476,2
40,1,6,25550.282423906378,3,1,0,76543.7047460931,0,-3831.0295283570304,-24215.328762622248,1
28,1,7,72876.04642244641,2,1,1,54261.902305979274,0,-25986.73501841729,23169.598956917536,0
28,1,8,99586.3875430702,3,0,0,78948.27876118806,0,-1229.3223676081543,49814.111039440984,2
41,1,9,79708.39554491037,2,0,1,84598.45052614633,0,4367.898743056881,29921.144355476637,2
53,1,9,34183.54587610025,1,0,1,128472.54605040622,0,48120.616202974474,-15720.370906692478,1
57,0,8,90059.19006282612,1,1,1,85939.88307542999,0,5736.888481200527,40268.330236342714,2
41,1,3,5117.973566820943,3,0,0,70393.39921976137,1,-10035.719951412204,-44631.18828356491,1
20,1,2,72500.68244473121,3,1,0,144589.62263276993,1,64339.66553041797,22553.713627454177,2
39,1,5,2332.233156267505,2,1,0,145598.1393297922,1,65161.335722718344,-47617.172360659526,1
19,1,1,17455.5495356965,4,0,1,15378.349717212292,0,-65017.722287419805,-32147.1631740226,0
41,1,3,98758.57415385744,2,1,1,108958.4059723722,0,28778.49422969234,48906.39026913944,2
61,1,1,36088.4912494307,2,0,0,62046.12917706182,1,-18300.492688238293,-13638.553473781467,0
47,0,3,82049.93781642387,1,0,1,104527.95377731071,0,24303.566377039228,32209.61047743359,2
55,0,4,37608.6712835602,4,1,1,99169.13516790008,0,18826.429567630214,-12217.229157982292,1
19,0,7,84002.84507978156,4,0,1,56214.63186924785,0,-24004.384222362612,34291.158484904045,0
38,0,5,96543.95601267744,2,1,1,148132.22122290137,0,67946.27354935704,46587.46879883874,2
50,0,5,43553.62434191665,1,1,0,59995.32351794689,0,-20331.413136077193,-6167.986004063299,0
29,0,1,55934.91918482794,3,0,0,98477.42240369647,1,18183.517868181472,6110.79565635755,2
39,1,8,62863.948996356776,1,1,0,123874.09680062871,0,43598.55274216912,12972.175188895228,2
61,1,4,93483.48021752354,3,1,0,30365.097383332693,0,-49828.58204146195,43840.59157840505,0
