CustomerID,Age,Gender,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn
1,56,Female,7,30965.527438046116,2,0,0,109518.59526355848,0
2,69,Female,1,3065.949015019731,1,1,1,94461.43841497319,1
3,46,Male,4,15001.936178986209,2,0,0,129661.50411843417,1
4,32,Female,1,56201.465454302415,2,0,0,64552.63090274725,1
5,60,Female,6,15766.059505334008,2,0,1,128109.89941900881,0
6,25,Female,4,73630.50159809107,2,1,0,15183.983757501044,0
7,38,Male,1,3723.2604915937495,1,1,1,61212.64631387026,1
8,56,Male,9,25948.80232378819,2,0,1,20217.628204049113,0
9,36,Female,4,69545.31233884886,3,0,1,138694.18387032702,0
10,40,Female,6,25550.282423906378,3,1,0,76543.7047460931,0
11,28,Female,7,72876.04642244641,2,1,1,54261.902305979274,0
12,28,Female,8,99586.38754307019,3,0,0,78948.27876118806,0
13,41,Female,9,79708.39554491037,2,0,1,84598.45052614633,0
14,53,Female,9,34183.54587610025,1,0,1,128472.54605040622,0
15,57,Male,8,90059.19006282612,1,1,1,85939.88307542999,0
16,41,Female,3,5117.973566820943,3,0,0,70393.39921976137,1
17,20,Female,2,72500.68244473121,3,1,0,144589.62263276993,1
18,39,Female,5,2332.233156267505,2,1,0,145598.1393297922,1
19,19,Female,1,17455.5495356965,4,0,1,15378.349717212292,0
20,41,Female,3,98758.57415385745,2,1,1,108958.40597237219,0
21,61,Female,1,36088.4912494307,2,0,0,62046.12917706182,1
22,47,Male,3,82049.93781642387,1,0,1,104527.95377731073,0
23,55,Male,4,37608.6712835602,4,1,1,99169.13516790008,0
24,19,Male,7,84002.84507978156,4,0,1,56214.63186924785,0
25,38,Male,5,96543.95601267743,2,1,1,148132.22122290137,0
26,50,Male,5,43553.62434191665,1,1,0,59995.32351794689,0
27,29,Male,1,55934.91918482794,3,0,0,98477.42240369649,1
28,39,Female,8,62863.948996356776,1,1,0,123874.09680062871,0
29,61,Female,4,93483.48021752354,3,1,0,30365.097383332693,0
30,42,Female,5,25674.40874345579,1,0,1,52079.57479483719,0
31,66,Female,2,61124.937283372674,4,1,0,37856.1806004995,1
32,44,Female,1,32472.02282231425,1,0,0,119455.13947183132,1
33,59,Female,9,21693.318018241946,2,0,1,122169.19587397038,0
34,45,Male,2,8492.033902321416,3,1,0,45832.14060344609,1
35,33,Female,6,62071.08637359489,1,1,1,10578.226479389401,0
36,32,Male,1,88208.54788715683,1,0,1,69269.06912457991,0
37,64,Male,1,35139.288884451256,3,1,0,106199.26596868409,1
38,68,Female,9,55266.853619297726,1,0,0,97150.30516955374,0
39,61,Female,4,64213.37952941158,3,1,0,72397.97075338008,0
40,69,Female,9,41465.0177795204,4,0,1,52271.82917124356,0
41,20,Female,5,90334.78503660581,3,0,1,76414.2278929967,0
42,54,Female,7,36275.51612011766,3,1,0,12114.39333555716,0
43,68,Female,1,12501.082008984366,4,1,1,20341.88672352532,0
44,24,Female,6,14402.035805169955,1,1,0,32774.750722220684,1
45,38,Male,8,89085.76145077127,1,0,1,97556.74998194666,0
46,26,Female,1,98800.80428479597,4,0,0,40631.88955206577,1
47,56,Female,9,28893.785057171695,2,1,1,69273.0486656773,0
48,35,Male,3,14360.272565471143,3,1,1,96997.51771681698,0
49,21,Female,1,48221.22817562094,1,0,0,126280.7530295964,1
50,42,Female,1,70952.80635765979,1,1,1,86951.91286706878,0
51,31,Male,6,61240.29081029721,3,1,0,34797.71058767872,0
52,67,Female,6,95110.81820826126,3,0,1,143243.533496499,0
53,26,Female,1,81777.7883971628,3,1,0,22602.120936564483,1
54,43,Female,3,86897.2165064002,2,0,0,61396.70074182356,0
55,19,Female,7,54166.715884907026,4,0,0,138985.35169855013,0
56,37,Female,3,32727.519333145006,2,1,1,94326.68493400638,0
57,45,Female,3,70173.60104605791,2,1,0,102771.31657147943,0
58,64,Male,3,43905.30399513951,3,1,1,52236.970231148465,0
59,24,Female,7,28775.424056232456,4,0,0,20995.397749026793,0
60,61,Female,4,15227.068567229751,1,0,1,61206.5368535616,0
61,25,Male,4,52787.42078895624,3,0,0,66302.02995437362,0
62,64,Male,3,59425.356719991876,4,1,1,47838.130618595205,0
63,52,Female,9,56878.568265417496,1,0,1,40167.95467558058,0
64,31,Male,2,11654.836343355402,2,0,1,59771.219040315715,1
65,34,Female,4,56998.73195387432,4,0,0,99518.36274690104,0
66,53,Female,8,16841.410680514102,2,1,0,142864.8645965607,1
67,67,Male,6,66371.4165451469,2,0,1,108529.30315102583,0
68,57,Female,7,42938.39966655334,4,1,1,119144.43189238057,0
69,21,Female,7,84878.85877391555,1,1,1,52849.37573490703,0
70,19,Male,2,77826.57447937787,4,0,0,24656.94758192689,1
71,23,Male,4,72438.20515166337,1,0,0,50811.89636568011,0
72,59,Male,6,70073.70993343023,3,0,1,66371.5895875286,0
73,21,Male,3,56048.8039478102,3,1,0,106583.38850678236,0
74,46,Female,9,6111.357612834434,3,1,0,141510.1993842594,1
75,35,Male,4,65548.9623533001,2,1,0,123300.95200991657,0
76,43,Male,2,46692.21775637152,3,1,0,47296.03998261679,1
77,61,Male,6,46955.4713993533,2,0,0,124842.09539188196,0
78,51,Male,1,37902.21954662697,1,0,1,67644.5485356871,0
79,27,Male,6,92907.09148417106,4,1,1,34561.434608772906,0
80,53,Female,1,24945.126695243234,4,1,0,74575.48839976886,1
81,31,Male,8,31659.445340977963,2,1,1,88850.87633537877,0
82,48,Female,5,96304.07827356226,2,1,0,116876.71531015424,0
83,65,Male,6,81015.3735276698,2,1,1,58985.50883913288,0
84,32,Male,2,1408.6412162869988,1,1,0,30549.104945422423,1
85,25,Male,2,90610.75998618739,1,1,0,23209.496620852344,1
86,31,Male,9,22664.729883307034,3,1,0,25742.437676118036,0
87,40,Male,3,70593.25391660635,3,0,1,143003.2787548624,0
88,57,Male,6,55307.31073672155,4,0,1,143245.175724897,0
89,38,Male,5,53681.1883602784,3,1,1,145625.90235674806,0
90,33,Male,4,71792.13233927192,1,0,0,52348.4415973957,1
91,62,Female,2,20718.14718944397,1,0,0,36826.01887670223,1
92,35,Male,8,15902.513076642656,1,0,1,147328.02620827802,0
93,64,Female,7,65191.26067329519,1,1,1,148356.9726172856,0
94,41,Male,2,29057.922890466227,4,1,0,20969.061873044153,1
95,43,Female,6,97395.02076577609,4,1,0,115353.93405286626,0
96,42,Male,8,45151.18390746734,1,0,0,50412.95458379592,0
97,62,Male,7,11159.702000696525,2,1,1,137301.82421810404,0
98,58,Male,1,68581.51661720447,3,0,0,22491.502247592703,1
99,46,Female,5,30615.929246613126,4,1,0,134400.8830171348,0
100,32,Female,2,14858.74276214022,2,1,0,10366.97722859878,1
101,62,Female,6,42282.3362889921,3,0,0,83076.90222264723,0
102,18,Female,7,96422.22780872781,2,1,1,56978.93865015865,0
103,42,Male,7,41143.057638713,1,0,0,69826.72551297472,0
104,24,Male,3,34733.37657310635,3,1,1,70729.83997723617,0
105,26,Male,7,44450.89620693041,2,1,0,101504.44227899614,0
106,41,Female,5,1211.5705599648363,4,1,1,13233.59726292802,0
107,18,Male,8,13310.153859861406,4,0,1,106790.9751553401,0
108,61,Female,8,84967.46181346077,4,1,1,13107.738064274585,0
109,25,Female,7,97803.44120945137,3,0,1,35938.326445851875,0
110,41,Female,6,15794.148560368138,1,0,0,94943.83121788829,1
111,28,Female,2,53551.78183869084,1,0,1,22101.24103187452,0
112,68,Female,6,96633.34338056436,3,1,1,148726.51228144733,0
113,34,Male,9,15658.137617896384,3,1,0,119813.7723440765,1
114,25,Female,2,18630.961750245024,1,1,1,108793.22975310819,1
115,52,Female,1,92681.63539283983,4,1,1,47475.34087791409,0
116,52,Male,5,70568.76464523825,1,1,0,16799.084917373504,1
117,50,Female,6,15196.668684216074,1,0,1,147029.3394648011,0
118,22,Female,3,39349.26711186097,2,0,0,30698.759194408758,0
119,59,Male,8,5626.994421471054,4,0,1,126279.42779830226,0
120,56,Male,7,43267.15339176942,3,0,1,37652.43789136249,0
121,58,Male,2,77790.1494487037,1,0,1,62373.35137442297,0
122,45,Female,7,55397.20545861272,4,0,0,107102.54265626383,0
123,24,Male,1,64744.21218162031,3,1,1,142351.08480735775,0
124,26,Male,9,32682.013220020923,2,0,0,12769.529851233123,0
125,25,Male,7,16139.5917744793,2,0,1,46507.542103379565,0
126,29,Female,6,1311.667577348441,4,0,1,117095.19686092126,0
127,51,Male,2,82131.23443293454,1,0,1,34275.13688454694,0
128,50,Female,3,63665.455934578786,3,1,1,25603.716634225453,0
129,65,Female,1,22932.12412876884,4,0,0,16465.85960256388,1
130,40,Male,5,41843.39600772948,2,1,0,80348.5993252548,0
131,41,Female,9,80144.32687281142,3,1,0,117482.71119190159,0
132,54,Female,6,53870.01860913857,3,0,1,144642.83905697957,0
133,52,Male,5,30015.98764459783,1,0,0,47448.032892905176,1
134,61,Female,3,26718.451717068547,2,1,0,26992.136222792044,0
135,57,Male,5,21761.402444882562,2,0,1,66357.45824317684,0
136,39,Female,8,82372.98801341698,2,0,0,17761.642202252082,0
137,44,Female,2,58186.03506846625,3,0,1,56390.351241452285,0
138,52,Male,5,70915.71657014643,2,1,1,100031.19866946245,0
139,18,Male,6,86012.04413974134,4,0,0,33543.2433003049,0
140,52,Female,8,98686.17025302163,2,1,0,98462.7451409648,0
141,54,Female,8,24948.358653078194,3,1,1,146072.86526235007,0
